doc_id,shop_num,cash_num,item,category,amount,price,discount
326TQY64TEP9E1P,1,6,плед бамбуковый,текстиль,7,4909.69,365.25
JK44C0LEWX0GSLL,1,6,тарелка металлическая,посуда,6,1325.48,179.81
JK44C0LEWX0GSLL,1,6,плед льняной,текстиль,2,2792.81,512.75
JK44C0LEWX0GSLL,1,6,простыня льняной,текстиль,2,2039.63,199.12
JK44C0LEWX0GSLL,1,6,простыня льняной,текстиль,7,3906.14,0.0
JK44C0LEWX0GSLL,1,6,порошок для посуды,бытовая химия,4,4083.16,564.82
M4500GO6FM9JQYK,1,6,спрей для посуды,бытовая химия,5,520.94,101.63
M4500GO6FM9JQYK,1,6,молоток для хозяйства,инструменты,1,93.58,0.0
M4500GO6FM9JQYK,1,6,плед бамбуковый,текстиль,2,2632.82,262.47
M4500GO6FM9JQYK,1,6,гель универсальный,бытовая химия,5,2538.94,0.0
M4500GO6FM9JQYK,1,6,полотенце льняной,текстиль,3,3510.17,0.0
J0OQXC929VQVWLI,1,6,молоток для дома,инструменты,6,1917.64,283.82
J0OQXC929VQVWLI,1,6,спрей универсальный,бытовая химия,2,983.51,15.16
J0OQXC929VQVWLI,1,6,гель для стирки,бытовая химия,7,2594.06,353.36
AKSI0DD5XHOPUW9,1,6,жидкость универсальный,бытовая химия,4,960.4,23.74
AKSI0DD5XHOPUW9,1,6,тарелка керамическая,посуда,4,312.26,0.0
L3KPPR8KW82Y43Z,1,6,гель для стирки,бытовая химия,7,942.24,133.79
60IKA589A32WPN9,1,6,спрей универсальный,бытовая химия,2,2801.53,203.94
60IKA589A32WPN9,1,6,спрей универсальный,бытовая химия,6,4727.59,0.0
60IKA589A32WPN9,1,6,веник для хозяйства,инструменты,1,3980.39,442.07
60IKA589A32WPN9,1,6,полотенце льняной,текстиль,2,3888.22,750.11
60IKA589A32WPN9,1,6,порошок для посуды,бытовая химия,1,1521.2,0.0
5NHUWU2AXEBWWWG,1,6,скатерть льняной,текстиль,3,198.25,0.0
5NHUWU2AXEBWWWG,1,6,тарелка металлическая,посуда,1,718.28,0.0
5NHUWU2AXEBWWWG,1,6,спрей универсальный,бытовая химия,4,255.1,52.79
5NHUWU2AXEBWWWG,1,6,молоток универсал,инструменты,5,886.34,174.62
5NHUWU2AXEBWWWG,1,6,спрей для стирки,бытовая химия,7,2470.46,429.48
IUTC4YHGFL51WEF,1,7,полотенце хлопковый,текстиль,2,1640.52,158.13
IUTC4YHGFL51WEF,1,7,плед бамбуковый,текстиль,5,2632.82,262.47
IUTC4YHGFL51WEF,1,7,жидкость для посуды,бытовая химия,1,2883.8,80.22
IUTC4YHGFL51WEF,1,7,тарелка стеклянная,посуда,5,4889.33,1183.16
IUTC4YHGFL51WEF,1,7,кастрюля металлическая,посуда,1,2693.82,0.0
W21DVCIUFU4ZNTD,1,7,порошок для посуды,бытовая химия,2,1521.2,0.0
W21DVCIUFU4ZNTD,1,7,тарелка керамическая,посуда,6,2980.35,0.0
W21DVCIUFU4ZNTD,1,7,тарелка стеклянная,посуда,3,4997.48,0.0
I8XP9SXEJJV6KYQ,1,7,простыня хлопковый,текстиль,7,4383.99,250.7
I8XP9SXEJJV6KYQ,1,7,молоток для дома,инструменты,2,1378.25,61.87
6UNQ6VD9ASBM9G2,1,7,скатерть льняной,текстиль,1,1768.44,34.36
6UNQ6VD9ASBM9G2,1,7,пасатижи для дома,инструменты,4,3703.76,0.0
6UNQ6VD9ASBM9G2,1,7,порошок для посуды,бытовая химия,7,4083.16,564.82
6UNQ6VD9ASBM9G2,1,7,тарелка керамическая,посуда,7,4392.6,1084.13
6UNQ6VD9ASBM9G2,1,7,гель для стирки,бытовая химия,7,2594.06,353.36
7VVQH0ABNYGAVPZ,1,7,полотенце льняной,текстиль,7,3179.24,749.57
7VVQH0ABNYGAVPZ,1,7,скатерть льняной,текстиль,7,1768.44,34.36
7VVQH0ABNYGAVPZ,1,7,тарелка керамическая,посуда,4,2980.35,0.0
7VVQH0ABNYGAVPZ,1,7,жидкость универсальный,бытовая химия,6,960.4,23.74
7VVQH0ABNYGAVPZ,1,7,молоток для хозяйства,инструменты,2,93.58,0.0
ZYG0TATCA496KOT,1,7,молоток для дома,инструменты,4,1917.64,283.82
ZYG0TATCA496KOT,1,7,скатерть льняной,текстиль,2,196.7,17.05
ZYG0TATCA496KOT,1,7,молоток для хозяйства,инструменты,5,3196.39,232.05
TEE87E6Q5MR5GFY,1,7,гель универсальный,бытовая химия,3,2538.94,0.0
TEE87E6Q5MR5GFY,1,7,скатерть хлопковый,текстиль,4,4305.42,1008.7
AM773RFQAFMN9C3,1,7,спрей универсальный,бытовая химия,4,255.1,52.79
3XJ8DG0FJXOF9KL,1,7,скатерть льняной,текстиль,1,196.7,17.05
3XJ8DG0FJXOF9KL,1,7,скатерть бамбуковый,текстиль,1,3604.51,989.14
3XJ8DG0FJXOF9KL,1,7,полотенце хлопковый,текстиль,7,1640.52,158.13
3XJ8DG0FJXOF9KL,1,7,веник для хозяйства,инструменты,4,3980.39,442.07
3XJ8DG0FJXOF9KL,1,7,простыня хлопковый,текстиль,1,4383.99,250.7
19IPLPFQPJVEQKW,1,7,плед хлопковый,текстиль,4,4045.3,485.71
19IPLPFQPJVEQKW,1,7,гель для посуды,бытовая химия,4,2816.5,816.43
19IPLPFQPJVEQKW,1,7,тарелка стеклянная,посуда,3,4889.33,1183.16
19IPLPFQPJVEQKW,1,7,пасатижи универсал,инструменты,7,1365.95,104.18
19IPLPFQPJVEQKW,1,7,гель универсальный,бытовая химия,6,2538.94,0.0
WMMOPONI3JMQSVW,2,5,полотенце льняной,текстиль,4,3510.17,0.0
WMMOPONI3JMQSVW,2,5,дрель универсал,инструменты,5,730.66,0.0
WMMOPONI3JMQSVW,2,5,тарелка керамическая,посуда,4,618.11,44.55
WMMOPONI3JMQSVW,2,5,спрей для посуды,бытовая химия,1,520.94,101.63
WMMOPONI3JMQSVW,2,5,молоток для хозяйства,инструменты,5,3196.39,232.05
OIEHOXTFYD8EVXR,2,5,гель для стирки,бытовая химия,7,2387.42,704.76
OIEHOXTFYD8EVXR,2,5,тарелка металлическая,посуда,3,718.28,0.0
OIEHOXTFYD8EVXR,2,5,простыня льняной,текстиль,6,2039.63,199.12
9AGV6TVT0QEWNQS,2,5,дрель универсал,инструменты,5,730.66,0.0
9AGV6TVT0QEWNQS,2,5,жидкость для посуды,бытовая химия,5,2883.8,80.22
3BGWA19AAQNN9RP,2,5,спрей для стирки,бытовая химия,6,2470.46,429.48
3BGWA19AAQNN9RP,2,5,пасатижи для хозяйства,инструменты,1,325.73,0.0
3BGWA19AAQNN9RP,2,5,тарелка металлическая,посуда,1,1325.48,179.81
3BGWA19AAQNN9RP,2,5,простыня хлопковый,текстиль,4,4383.99,250.7
3BGWA19AAQNN9RP,2,5,скатерть бамбуковый,текстиль,6,662.06,0.0
VK3FY0F231O39XJ,2,5,полотенце хлопковый,текстиль,7,895.24,188.51
VK3FY0F231O39XJ,2,5,спрей универсальный,бытовая химия,6,2801.53,203.94
VK3FY0F231O39XJ,2,5,молоток для дома,инструменты,4,1378.25,61.87
VK3FY0F231O39XJ,2,5,жидкость универсальный,бытовая химия,4,960.4,23.74
VK3FY0F231O39XJ,2,5,простыня хлопковый,текстиль,6,1561.56,188.65
C8MQEY3DU655RU1,2,5,порошок для стирки,бытовая химия,7,2742.7,0.0
C8MQEY3DU655RU1,2,5,спрей для стирки,бытовая химия,4,2470.46,429.48
C8MQEY3DU655RU1,2,5,жидкость универсальный,бытовая химия,6,960.4,23.74
SXQPV43EQ1H552O,2,5,спрей для посуды,бытовая химия,1,520.94,101.63
SXQPV43EQ1H552O,2,5,порошок для посуды,бытовая химия,2,4083.16,564.82
C6QTTEJC0AIJV61,2,5,полотенце бамбуковый,текстиль,5,4431.55,215.01
CIYPVNACCUWMYR0,2,5,скатерть льняной,текстиль,2,196.7,17.05
CIYPVNACCUWMYR0,2,5,пасатижи для хозяйства,инструменты,4,4744.87,823.81
CIYPVNACCUWMYR0,2,5,молоток для дома,инструменты,4,1917.64,283.82
CIYPVNACCUWMYR0,2,5,пасатижи для хозяйства,инструменты,6,4744.87,823.81
CIYPVNACCUWMYR0,2,5,пасатижи универсал,инструменты,1,1365.95,104.18
KV3N9SLNFNAQ5BB,2,5,пасатижи для хозяйства,инструменты,1,782.39,0.0
KV3N9SLNFNAQ5BB,2,5,веник для хозяйства,инструменты,5,1179.65,82.85
KV3N9SLNFNAQ5BB,2,5,гель универсальный,бытовая химия,3,2538.94,0.0
KV3N9SLNFNAQ5BB,2,5,полотенце льняной,текстиль,7,3179.24,749.57
KV3N9SLNFNAQ5BB,2,5,веник для хозяйства,инструменты,6,3980.39,442.07
406MC6MP715QSJ3,2,6,гель для стирки,бытовая химия,4,942.24,133.79
406MC6MP715QSJ3,2,6,плед льняной,текстиль,5,172.65,7.44
406MC6MP715QSJ3,2,6,дрель универсал,инструменты,2,730.66,0.0
406MC6MP715QSJ3,2,6,плед бамбуковый,текстиль,1,4414.2,0.0
406MC6MP715QSJ3,2,6,простыня льняной,текстиль,5,1140.88,191.71
H7RL9P3AHLHJSS3,2,6,плед бамбуковый,текстиль,2,1337.84,0.0
H7RL9P3AHLHJSS3,2,6,тарелка металлическая,посуда,1,1325.48,179.81
H7RL9P3AHLHJSS3,2,6,плед бамбуковый,текстиль,6,4909.69,365.25
XKJRLNCBGRSRAFL,2,6,кружка металлическая,посуда,1,1915.69,0.0
XKJRLNCBGRSRAFL,2,6,молоток для хозяйства,инструменты,6,93.58,0.0
T8QTROCDE3X7ABP,2,6,кружка стеклянная,посуда,1,1336.94,92.2
T8QTROCDE3X7ABP,2,6,скатерть хлопковый,текстиль,1,3324.33,638.68
T8QTROCDE3X7ABP,2,6,скатерть бамбуковый,текстиль,3,662.06,0.0
T8QTROCDE3X7ABP,2,6,гель для посуды,бытовая химия,7,526.68,119.95
T8QTROCDE3X7ABP,2,6,порошок для посуды,бытовая химия,1,4083.16,564.82
19PVWKYFS3QU9YP,2,6,тарелка металлическая,посуда,1,2170.34,221.67
19PVWKYFS3QU9YP,2,6,пасатижи универсал,инструменты,4,4615.43,321.45
19PVWKYFS3QU9YP,2,6,молоток для хозяйства,инструменты,7,3196.39,232.05
19PVWKYFS3QU9YP,2,6,порошок для стирки,бытовая химия,7,2742.7,0.0
19PVWKYFS3QU9YP,2,6,плед хлопковый,текстиль,2,4045.3,485.71
WA2UDTC2YJMK6XY,2,6,полотенце хлопковый,текстиль,3,4663.21,402.94
WA2UDTC2YJMK6XY,2,6,молоток для хозяйства,инструменты,7,93.58,0.0
WA2UDTC2YJMK6XY,2,6,кружка металлическая,посуда,4,1915.69,0.0
9SDN10DTCY5F1MG,2,6,молоток для хозяйства,инструменты,3,93.58,0.0
9SDN10DTCY5F1MG,2,6,полотенце льняной,текстиль,4,3510.17,0.0
RDTTIH0DIJFVAUT,2,6,кружка металлическая,посуда,2,1915.69,0.0
H47ZWXX75LUE1DZ,2,6,молоток универсал,инструменты,6,1928.33,0.0
H47ZWXX75LUE1DZ,2,6,плед льняной,текстиль,5,2792.81,512.75
H47ZWXX75LUE1DZ,2,6,плед хлопковый,текстиль,3,4045.3,485.71
H47ZWXX75LUE1DZ,2,6,гель для посуды,бытовая химия,2,526.68,119.95
H47ZWXX75LUE1DZ,2,6,плед льняной,текстиль,1,1658.15,204.15
FVIWB9METTLRI22,2,6,спрей универсальный,бытовая химия,3,255.1,52.79
FVIWB9METTLRI22,2,6,плед льняной,текстиль,4,2792.81,512.75
FVIWB9METTLRI22,2,6,плед бамбуковый,текстиль,3,4909.69,365.25
FVIWB9METTLRI22,2,6,кружка металлическая,посуда,4,1081.24,213.92
FVIWB9METTLRI22,2,6,жидкость для посуды,бытовая химия,7,2883.8,80.22
